uplift_decile,customers,avg_uplift_score,avg_pred_treated,avg_pred_control,observed_conversion_rate,treated_customers,treated_conversion_rate,control_customers,control_conversion_rate,observed_uplift
D1,6400,0.23879910137550056,0.49246281166550626,0.2536637102900057,0.00921875,5380,0.010780669144981412,1020,0.000980392156862745,0.009800276988118667
D2,6400,0.1675850521925898,0.4394470795616923,0.2718620273691026,0.00703125,4588,0.008500435919790758,1812,0.0033112582781456954,0.005189177641645063
D3,6400,0.12932062526544835,0.43011474731078797,0.3007941220453397,0.00828125,4362,0.011004126547455296,2038,0.0024533856722276743,0.00855074087522762
D4,6400,0.0958739378361409,0.43909971267388653,0.34322577483774563,0.00671875,4279,0.008646880112175742,2121,0.002828854314002829,0.005818025798172912
D5,6400,0.0623544547812412,0.453082475075063,0.3907280202938218,0.00859375,4180,0.01076555023923445,2220,0.0045045045045045045,0.006261045734729946
D6,6400,0.02810979206059497,0.4616833562931793,0.43357356423258436,0.0084375,4116,0.011175898931000973,2284,0.0035026269702276708,0.007673271960773302
D7,6400,-0.008481938242136482,0.4737038028385636,0.48218574108070006,0.00875,4142,0.010381458232737808,2258,0.005757307351638618,0.00462415088109919
D8,6400,-0.050455630217355295,0.4902417464773795,0.5406973766947347,0.00921875,4100,0.01097560975609756,2300,0.00608695652173913,0.00488865323435843
D9,6400,-0.10037348634861745,0.5097701451981546,0.610143631546772,0.0128125,3914,0.014563106796116505,2486,0.01005631536604988,0.004506791430066626
D10,6400,-0.17432925544353836,0.5061211336773375,0.6804503891208757,0.01125,3633,0.010459675199559593,2767,0.012287676183592338,-0.0018280009840327457
